NAME_1,Capital,Population,Hospital Bed,Physician,Vaccination
AgusandelNorte,City of Butuan,687721,6.98,2.22,66.33
AgusandelSur,Prosperidad,742969,4.35,0.85,80.71
Basilan,City of Lamitan,167936,3.27,0.25,29.45
Bukidnon,City of Malaybalay,1531248,9.34,1.82,52.58
Camiguin,Mambajao,87950,11,2.44,58.65
CompostelaValley,Nabunturan,"782,696",6.35,1.16,57.4
DavaodelNorte,City of Tagum,1125187,0.54,3.9,56.9
DavaodelSur,City of Digos,2219271,1.71,1.29,58.73
DavaoOriental,City of Mati,572048,7.74,1.24,61.18
DinagatIslands,San Jose,124342,1.38,1.41,65.63
LanaodelNorte,Tubod,994238,5.56,1.26,86.52
LanaodelSur,City of Marawi,700691,8.87,3.41,68.52
Maguindanao,Shariff Aguak( Maganoy) ,713021,5.24,1.9,57.33
MisamisOccidental,City of Oroquieta,626095,10.48,3.3,70.7
MisamisOriental,City of Cagayan de Oro,1622006,17.11,3.47,56.39
NorthCotabato,City of Kidapawan,1414102,15.15,3.66,77.52
SouthCotabato,City of Koronodal,1503497,8.28,1.91,55.68
SultanKudarat,Isulan,867712,2.28,0.47,44.66
Sulu,Jolo,507160,7.74,1.82,68.22
SurigaodelNorte,City of Surigao,463665,4.92,2.27,73.06
SurigaodelSur,City of Tandag,591480,10.49,3.71,74.23
Tawi-Tawi,Bongao,188677,4.71,0.63,63.35
ZamboangadelNorte,City of Dipolog,1040025,3.75,1.68,67.15
ZamboangadelSur,City of Pagadian,1895872,11.76,3.11,52.99
ZamboangaSibugay,Ipil,647905,2.37,1.39,69.05
