NAME_1,Provinces,Capital,Population,Population in Poverty,Average Life Expentancy,Multi-Hazard Risk (MHR),Multi-Hazard Exposure (MHE),Vulnerability,Coping Capacity,Resilience,Earthquake,Flood,Landslide,Drought,Storm Surge,Tsunami,Liquefaction,Volcano,Wildfire,Typhoon Winds
Abra,Abra,Bangued,238088,15,68.5,0.442,0.532,0.431,0.637,0.603,100,51,22,0,0,0,46,0,13,100
AgusandelNorte,Agusan Del Norte,City of Butuan,687721,19.4,68.3,0.516,0.711,0.435,0.598,0.582,94,68,14,11,22,1,42,1,24,100
AgusandelSur,Agusan Del Sur,Prosperidad,742969,30.4,65.3,0.568,0.741,0.488,0.526,0.519,100,48,11,75,0,0,65,1,1,100
Aklan,Aklan,Kalibo,591193,8.8,68.2,0.482,0.644,0.385,0.582,0.599,84,73,8,0,30,1,59,0,0,100
Albay,Albay,City of Legazpi,1293646,14.8,69.1,0.536,0.73,0.475,0.596,0.56,89,0,7,86,12,8,35,15,3,100
Antique,Antique,San Jose,575811,13.2,67.9,0.508,0.599,0.436,0.511,0.537,89,53,15,0,19,1,57,0,4,100
Apayao,Apayao,Kabugao,121817,16,67.4,0.48,0.562,0.454,0.577,0.561,100,36,37,79,0,0,40,1,1,100
Aurora,Aurora,Baler,216655,11.5,69.1,0.512,0.644,0.456,0.563,0.554,95,41,39,97,23,1,53,0,0,100
Basilan,Basilan,City of Lamitan,167936,65.7,64.8,0.561,0.182,0.826,0.325,0.249,83,0,11,0,24,0,4,1,0,0
Bataan,Bataan,City of Balanga,733906,5.7,69.2,0.443,0.677,0.315,0.664,0.675,97,89,5,0,34,3,47,1,4,100
Batanes,Batanes,Basco,16892,6.6,68.6,0.228,0.171,0.263,0.752,0.744,0,0,44,0,5,15,0,55,0,100
Batangas,Batangas,Batangas City,2618592,8.4,70.3,0.459,0.583,0.364,0.57,0.603,95,11,6,0,9,1,13,5,4,100
Benguet,Benguet,La Trinidad,822440,4.3,69.7,0.461,0.658,0.329,0.605,0.638,100,1,55,1,0,0,9,0,56,100
Biliran,Biliran,Naval,178306,13.8,68,0.472,0.546,0.43,0.561,0.565,64,44,10,34,27,1,27,38,0,100
Bohol,Bohol,City of Tagbilaran,1287607,15.2,68.8,0.493,0.629,0.414,0.564,0.575,77,33,13,33,14,1,26,1,3,100
Bukidnon,Bukidnon,City of Malaybalay,1531248,22.2,67.6,0.502,0.504,0.478,0.475,0.498,100,14,20,10,0,0,15,12,19,4
Bulacan,Bulacan,City of Malolos,3049664,3.5,70.7,0.512,0.783,0.304,0.548,0.623,100,76,1,1,4,1,49,1,15,100
Cagayan,Cagayan,Tuguegarao City,1215694,12.6,69.6,0.577,0.871,0.41,0.551,0.571,95,63,5,98,11,3,76,1,5,100
CamarinesNorte,Camarines Norte,Daet,593544,22.4,67.8,0.515,0.603,0.496,0.552,0.528,93,58,8,0,23,1,30,1,1,100
CamarinesSur,Camarines Sur,Pilo,2039218,20.6,68.4,0.555,0.762,0.446,0.544,0.549,94,1,5,77,9,6,32,15,12,100
Camiguin,Camiguin,Mambajao,87950,17.3,68,0.358,0.351,0.372,0.649,0.639,0,19,10,18,23,0,35,60,0,100
Capiz,Capiz,City of Roxas,750781,4.1,68.6,0.471,0.679,0.318,0.584,0.633,94,78,11,13,20,0,52,1,2,100
Catanduanes,Catanduanes,Virac,250142,14.4,67.1,0.475,0.586,0.466,0.629,0.581,93,50,31,17,37,39,22,1,0,100
Cavite,Cavite,City of Trece Martires,3589915,3.7,70.7,0.519,0.789,0.307,0.537,0.615,96,44,2,0,17,1,32,1,56,100
Cebu,Cebu,City of Cebu,4756594,11.1,69.4,0.586,0.841,0.486,0.57,0.542,75,45,15,62,20,1,51,1,1,100
CompostelaValley,Compostela Valley,Nabunturan,782696,18.5,68,0.489,0.584,0.402,0.519,0.558,94,32,24,95,6,1,1,9,1,45
NorthCotabato,Cotabato,City of Kidapawan,1414102,23.5,68.5,0.513,0.506,0.47,0.437,0.484,100,26,9,16,0,0,39,1,8,0
DavaodelNorte,Davao Del Norte,City of Tagum,1125187,10.2,68.6,0.462,0.53,0.401,0.545,0.572,91,1,8,84,9,1,50,1,0,1
