X,Y,VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LONG
120.3499985,15.13000011,1,0703-083,Pinatubo,Luzon-Philippines,Historical,1486,Stratovolcano,D1,15.13,120.35
120.5500031,16.33000183,2,0703-086,Santo Tomas,Luzon-Philippines,Uncertain,2260,Stratovolcano,?,16.33,120.55
120.4000015,14.70499897,4,0703-082,Natib,Luzon-Philippines,Holocene?,1287,Stratovolcano,?,14.705,120.4
120.5,14.50000095,5,0703-081,Mariveles,Luzon-Philippines,Radiocarbon,1420,Stratovolcano,D7,14.5,120.5
120.9800034,17.14700127,7,0703-087,Patoc,Luzon-Philippines,Fumarolic,1865,Stratovolcano,U,17.147,120.98
120.8050003,15.82800102,8,0703-085,Amorong,Luzon-Philippines,Fumarolic,376,Unknown,U,15.828,120.805
120.7419968,15.19999981,9,0703-084,Arayat,Luzon-Philippines,Holocene?,1026,Stratovolcano,?,15.2,120.742
121.0999985,17.31999779,10,0703-088,Ambalatungan Group,Luzon-Philippines,Fumarolic,2329,Compound volcano,U,17.32,121.1
121.75,20.32999992,13,0704-05=,Unnamed,Luzon-N of,Historical,-24,Submarine volcano,D3,20.33,121.75
120.8929977,13.72299767,15,0703-045,Panay,Luzon-Philippines,Pleistocene-Fumarolic,501,Stratovolcano,Q,13.723,120.893
120.9929962,14.00199986,16,0703-07=,Taal,Luzon-Philippines,Historical,400,Stratovolcano,D1,14.002,120.993
122.0100021,20.46899796,17,0704-06-,Iraya,Luzon-N of,Historical,1009,Stratovolcano,D6,20.469,122.01
121.9400024,19.52300262,19,0704-03=,Babuyan Claro,Luzon-N of,Historical,1080,Stratovolcanoes,D2,19.523,121.94
121.8600006,18.83000183,20,0704-01=,Camiguin de Babuyanes,Luzon-N of,Historical,712,Stratovolcano,D3,18.83,121.86
121.1999969,14.13000011,21,0703-06=,Maquiling,Luzon-Philippines,Holocene,1090,Stratovolcano,U,14.13,121.2
121.3300018,14.34999943,23,0703-08=,Jalajala,Luzon-Philippines,Fumarolic,743,Fumarole field,?,14.35,121.33
121.3000031,14.11999798,24,0703-051,Laguna Volc Field,Luzon-Philippines,Anthropology,654,Scoria cones,D6,14.12,121.3
122.2020035,19.07699966,25,0704-02=,Didicas,Luzon-N of,Historical,244,Compound volcano,D1,19.077,122.202
122.1230011,18.22200394,26,0703-09=,Cagua,Luzon-Philippines,Historical,1133,Stratovolcano,D3,18.222,122.123
121.4800034,14.07000256,27,0703-05=,Banahao,Luzon-Philippines,Holocene,2158,Complex volcano,U,14.07,121.48
122.0179977,13.24000072,28,0703-044,Malindig,Luzon-Philippines,Hot Springs,1157,Stratovolcano ?,U,13.24,122.018
122.7919998,14.0199995,30,0703-043,Labo,Luzon-Philippines,Pleistocene-Hot Springs,1544,Compound volcano,U,14.02,122.792
123.3799973,13.65799809,31,0703-042,Isarog,Luzon-Philippines,Fumarolic,1966,Stratovolcano,U,13.658,123.38
123.4570007,13.45699883,32,0703-041,Iriga,Luzon-Philippines,Historical,1196,Stratovolcano,D5,13.457,123.457
123.5970001,13.42199898,33,0703-04=,Malinao,Luzon-Philippines,Fumarolic,1548,Stratovolcano,U,13.422,123.597
123.5999985,13.31999683,34,0703-031,Masaraga,Luzon-Philippines,Holocene,1328,Stratovolcano,U,13.32,123.6
123.6849976,13.25699997,35,0703-03=,Mayon,Luzon-Philippines,Historical,2462,Stratovolcano,D1,13.257,123.685
123.1320038,10.41199589,36,0702-02=,Canlaon,Philippines-C,Historical,2435,Stratovolcano,D1,10.412,123.132
123.2300034,10.76999855,37,0702-04=,Silay,Philippines-C,Holocene,1535,Stratovolcano,U,10.77,123.23
123.2200012,10.61499882,38,0702-03=,Mandalagan,Philippines-C,Holocene,1879,Stratovolcano,U,10.615,123.22
123.9580002,13.04999924,39,0703-02=,Pocdol Mountains,Luzon-Philippines,Holocene,1102,Compound volcano,U,13.05,123.958
124.0500031,12.77000141,41,0703-01=,Bulusan,Luzon-Philippines,Historical,1565,Stratovolcano,D1,12.77,124.05
124.5350037,11.52300167,44,0702-08=,Biliran,Philippines-C,Historical,1301,Compound volcano,D2,11.523,124.535
124.8529968,10.87200356,45,0702-07=,Mahagnoa,Philippines-C,Fumarolic,800,Stratovolcano,U,10.872,124.853
125.2210007,10.28699875,52,0702-05=,Cabal¡an,Philippines-C,Fumarolic,945,Stratovolcano,U,10.287,125.221
